PartNumber,PartDescription,Brand,DisplayStyleNo,Finish,Size,BoltPattern,Offset,CenterBore,LoadRating,ShippingWeight,ImageURL,InvOrderType,Style,TotalQOH,MSRP,MAP,RunDate,1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1013,1014,1015,1016,1018,1019,1020,1021,1022,1024,1025,1026,1028,1029,1030,1031,1032,1034,1035,1036,1038,1040,1042,1043,1053,1054,1055,1056,1060,1071,1072,1080,1085,1086,1087,1088,1421
106A-816524,PR106 18X10 5X4.5 ANTHR MACH-LP 24MM,Performance Replicas,106,ANTHRACITE/MACHINED LIP,18X10,5X4.5,24,70.70,1400,34.00000,https://assets.wheelpros.com/PR106PR1064Standardfv62pztwkxKgsBcfqHd.png?product_type=Wheels&size=500,N2,PR106,1,211.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106A-816545,PR106 18X10 5X4.5 ANTHR MACH-LP 45MM,Performance Replicas,106,ANTHRACITE/MACHINED LIP,18X10,5X4.5,45,70.70,1400,34.00000,https://assets.wheelpros.com/PR106PR1064Standardfv62pztwkxKgsBcfqHd.png?product_type=Wheels&size=500,N2,PR106,1,194.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106A-896530,PR106 18X9 5X4.5 ANTHR MACH-LP 30MM,Performance Replicas,106,ANTHRACITE/MACHINED LIP,18X9,5X4.5,30,70.70,1400,33.00000,https://assets.wheelpros.com/PR106PR1064Standardfv62pztwkxKgsBcfqHd.png?product_type=Wheels&size=500,N2,PR106,0,239.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106B-716527,PR106 17X10.5 5X4.5 G-BLK MACH-LP 27MM,Performance Replicas,106,GLOSS BLACK W/ MACHINED LIP,17X10.5,5X4.5,27,70.70,1400,32.00000,https://assets.wheelpros.com/PR106PR1063Standardfv62pn1d94aJWbaMX4N.png?product_type=Wheels&size=500,N2,PR106,0,179.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106B-78610,PR106 17X8 5X4.75 G-BLK MACH-LP 00MM,Performance Replicas,106,GLOSS BLACK W/ MACHINED LIP,17X8,5X4.75,00,73.10,1400,29.00000,https://assets.wheelpros.com/PR106PR1063Standardfv62pn1d94aJWbaMX4N.png?product_type=Wheels&size=500,SP,PR106,3,157.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
106B-78650,PR106 17X8 5X4.5 G-BLK MACH-LP 00MM,Performance Replicas,106,GLOSS BLACK W/ MACHINED LIP,17X8,5X4.5,00,73.10,1400,29.00000,https://assets.wheelpros.com/PR106PR1063Standardfv62pn1d94aJWbaMX4N.png?product_type=Wheels&size=500,N2,PR106,7,157.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
106B-786530,PR106 17X8 5X4.5 G-BLK MACH-LP 30MM,Performance Replicas,106,GLOSS BLACK W/ MACHINED LIP,17X8,5X4.5,30,70.70,1400,29.00000,https://assets.wheelpros.com/PR106PR1063Standardfv62pn1d94aJWbaMX4N.png?product_type=Wheels&size=500,SP,PR106,40,157.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
106B-796530,PR106 17X9 5X4.5 G-BLK MACH-LP 30MM,Performance Replicas,106,GLOSS BLACK W/ MACHINED LIP,17X9,5X4.5,30,73.10,1400,31.00000,https://assets.wheelpros.com/PR106PR1063Standardfv62pn1d94aJWbaMX4N.png?product_type=Wheels&size=500,N2,PR106,1,161.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106B-816524,PR106 18X10 5X4.5 G-BLK MACH-LP 24MM,Performance Replicas,106,GLOSS BLACK W/ MACHINED LIP,18X10,5X4.5,24,70.70,1400,34.00000,https://assets.wheelpros.com/PR106PR1063Standardfv62pn1d94aJWbaMX4N.png?product_type=Wheels&size=500,N2,PR106,0,211.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106B-816545,PR106 18X10 5X4.5 G-BLK MACH-LP 45MM,Performance Replicas,106,GLOSS BLACK W/ MACHINED LIP,18X10,5X4.5,45,70.70,1400,34.00000,https://assets.wheelpros.com/PR106PR1063Standardfv62pn1d94aJWbaMX4N.png?product_type=Wheels&size=500,SP,PR106,44,194.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
